Test Name,Test Amount
Interferon Gamma Release Assay (Igra); Tb Platinum,0.00
Intestinal Resection,0.00
Ionic Calcium,740
"Iron Studies (Iron,TIBC, Transferrin saturation) ",660
Iron Studies Monitoring Panel,0.00
Iron Tibc,400
Islet Cell Antibody 2,2772
J Needle Biopsy,0.00
Jak 2 (V617F) Mutation Analysis -Pcr,4100
Jak2 (V617F) Mutation Analysis - Pcr,0.00
Jo-1 Antibody,0.00
"Kappa & Lambda Freelite Chain Assay, Serum",5800
"Kappa Freelite Chain, Serum",0.00
Karyotyping,4400
Ki 67,0.00
Kidney Function Panel,1200
Lactate Dehydrogenase ( Ldh ),400
"Lactate, Plasma",0.00
"Lambda Freelite Chain, Serum",2990
Laryngeal Biopsy,800
Laryngectomy,1700
Ldh (Lactate Dehydrogenase),400
Ldl Cholesterol,300
"Ldl Cholesterol, Direct",300.00
Le Cell Detection,600
Le Cells,600
"Lead, Blood",1870
"Leishmania (Kala-Azar)Antibody, Igg",1000
Leptospira Antibodies Panel (Igg & Igm),0.00
"Leptospira Antibody , Igg",1200
Leptospira Antibody Igg,1200
Leptospira Antibody Igg & Igm,2200.00
Leptospira Antibody Igm,1200
"Leptospira Antibody, Igm",1200
Leptospira Detection By Dark Field Microscopy,0.00
Lh & Testosterone Total,
Lipase,500
Lipid Profile,600
Lipoprotein- A (Lp -A),1045
Lithium,400
Lithium Level,400
Liver Function Test ( Lft ),600
Lobectomy,0.00
"Lp (A),Lipoprotein (A)",1045
Lumpectomy,0.00
Lupus Anticoagulant ,2600
Lupus Anticoagulant Screen-Drvvt,565
"Luteinising Hormone, Lh",500
Luteinizing Hormone ( Lh ),500
Lymph Node Biopsy,1500
"Magnesium, 24Hrs Urine",0.00
"Magnesium, Serum",300
Malaria dual antigen,600
Malaria Parasite Detection In Smear,150
Malarial Parasite,150
Mandibulectomy With Mnd,0.00
Mantoux Test; Tuberculin Skin Test,500
"Maternal Screen-1St Trimester, Dual Marker",0.00
"Maternal Screen-2Nd Trimester, Quadruple Marker",0.00
"Maternal Screen-2Nd Trimester, Triple Marker",0.00
"Mean Corpuscular Hemoglobin Concentration, Mchc",100
"Mean Corpuscular Hemoglobin, Mch",100
"Mean Corpuscular Volume, Mcv",100
"Mean Platelet Volume, Mpv",0.00
"Measles (Rubeola) Antibodies Panel, Igg & Igm",0.00
Measles (Rubeola) Igg Quantitative,0.00
Measles Igm Antibody,0.00
Metanephrine -Free Plasma,0.00
"Metanephrine, 24 Hours Urine",0.00
"Metanephrines -24 Hrs Urine (Includes Metanephrine, Normetanephrine)",0.00
"Methamphetamine Screen, Urine",0.00
Microalbumin /Creatinine Ratio- Urine,800
"Microalbumin Creatinine Ratio, Urine",800
MICROALBUMIN RANDOM URINE MAU,0.00
"Microalbumin, Urine 24Hrs",600
Microalbuminuria,0.00
Microfilaria Detection,1210
Microfilaria Detection By Pbs,400
Modified Glucose Tolerance Test,0.00
Modified Radical Mastectomy,0.00
Molecular Karyotyping,0.00
Molecular Karyotyping Graph,0.00
Mono Test,0.00
More Than 5 Blocks,0.00
Mthfr Gene Mutation,0.00
Mumps Igg Quantitative (Elisa),1900
"Mumps Virus Antibodies Panel, Igg & Igm",0.00
Musk Antibody (Muscle Specific Kinase),6900
Mycobacterium Combined Panel: Mycobacterium Tuberculosis Dna Pcr,0.00
Nasal Or Paranasal Sinus Mass,0.00
Nasal Plypectomy,0.00
Needle Biopsies Of Prostate,0.00
Nephrectomy Nonfunctioning Kidney,0.00
"Nicotine Metabolite, Serum",0.00
No Growth,0.00
Nodulectomy,0.00
Nor Metanephrine-24 Hrs Urine,0.00
Nor Metanephrine-Free Plasma,0.00
Nt-Pro Bnp 2(N-Terminal Pro B Type Natriuretic Peptide),0.00
Nt-Probnp,3500
"Occult Blood, Stool",200
OGTT,210
